batter,bowler,batsman_run,frequency
KL Rahul,Lalit Yadav,4,1
KL Rahul,Lalit Yadav,6,1
KL Rahul,M Ashwin,0,1
KL Rahul,M Ashwin,1,2
KL Rahul,M Prasidh Krishna,0,8
KL Rahul,M Prasidh Krishna,1,3
KL Rahul,M Prasidh Krishna,6,1
KL Rahul,MJ McClenaghan,0,5
KL Rahul,MJ McClenaghan,1,5
KL Rahul,MJ McClenaghan,6,1
KL Rahul,Mohammad Nabi,1,3
KL Rahul,Mohammad Nabi,4,2
KL Rahul,Mohammad Nabi,6,1
KL Rahul,Mohammed Shami,0,12
KL Rahul,Mohammed Shami,1,3
KL Rahul,Mohammed Shami,4,1
KL Rahul,Mohammed Shami,6,1
KL Rahul,Mohammed Siraj,0,9
KL Rahul,Mohammed Siraj,1,9
KL Rahul,Mohammed Siraj,2,1
KL Rahul,Mohammed Siraj,4,4
KL Rahul,Mohammed Siraj,6,3
KL Rahul,Mukesh Choudhary,0,5
KL Rahul,Mukesh Choudhary,1,2
KL Rahul,Mukesh Choudhary,2,1
KL Rahul,Mukesh Choudhary,4,2
KL Rahul,Mukesh Choudhary,6,1
KL Rahul,Mustafizur Rahman,0,3
KL Rahul,Mustafizur Rahman,1,5
KL Rahul,Navdeep Saini,0,5
KL Rahul,Navdeep Saini,1,1
KL Rahul,Navdeep Saini,4,2
KL Rahul,PJ Cummins,0,3
KL Rahul,PJ Cummins,4,1
KL Rahul,PJ Cummins,6,1
KL Rahul,PP Chawla,1,2
KL Rahul,PP Chawla,4,2
KL Rahul,R Ashwin,0,2
KL Rahul,R Ashwin,1,2
KL Rahul,R Ashwin,4,1
KL Rahul,RD Chahar,0,2
KL Rahul,RD Chahar,1,2
KL Rahul,RP Meredith,0,2
KL Rahul,RP Meredith,1,1
KL Rahul,Rashid Khan,0,1
KL Rahul,Rashid Khan,1,3
KL Rahul,S Kaul,0,3
KL Rahul,S Kaul,1,2
KL Rahul,S Kaul,4,3
KL Rahul,S Lamichhane,0,2
KL Rahul,S Lamichhane,4,1
KL Rahul,S Lamichhane,6,1
KL Rahul,S Sandeep Warrier,0,4
KL Rahul,S Sandeep Warrier,1,1
KL Rahul,SC Kuggeleijn,1,1
KL Rahul,SC Kuggeleijn,2,1
KL Rahul,SL Malinga,0,2
KL Rahul,SL Malinga,1,2
KL Rahul,SN Thakur,0,2
KL Rahul,SN Thakur,1,4
KL Rahul,SN Thakur,4,2
KL Rahul,SP Narine,0,4
KL Rahul,SP Narine,1,4
KL Rahul,SP Narine,2,1
KL Rahul,SP Narine,4,1
KL Rahul,Sandeep Sharma,0,9
KL Rahul,Sandeep Sharma,1,8
KL Rahul,Sandeep Sharma,4,2
KL Rahul,Shahbaz Ahmed,0,3
KL Rahul,Shahbaz Ahmed,1,2
KL Rahul,Shivam Mavi,0,8
KL Rahul,Shivam Mavi,1,5
KL Rahul,Shivam Mavi,4,2
KL Rahul,Shivam Mavi,6,1
KL Rahul,TA Boult,0,12
KL Rahul,TA Boult,1,8
KL Rahul,TA Boult,2,1
KL Rahul,TA Boult,4,3
KL Rahul,TA Boult,6,1
KL Rahul,TG Southee,0,1
KL Rahul,TG Southee,1,2
KL Rahul,TS Mills,0,1
KL Rahul,TS Mills,1,1
KL Rahul,TS Mills,4,2
KL Rahul,TS Mills,6,1
KL Rahul,TU Deshpande,0,2
KL Rahul,Tilak Varma,0,2
KL Rahul,Tilak Varma,1,2
KL Rahul,Tilak Varma,4,1
KL Rahul,UT Yadav,0,17
KL Rahul,UT Yadav,1,7
KL Rahul,UT Yadav,4,6
KL Rahul,UT Yadav,6,1
KL Rahul,Washington Sundar,0,1
KL Rahul,Washington Sundar,1,4
KL Rahul,Washington Sundar,4,1
KL Rahul,YS Chahal,0,2
KL Rahul,YS Chahal,1,1
KL Rahul,YS Chahal,4,1
KL Rahul,YS Chahal,6,1
KL Rahul,Yash Dayal,1,1
KM Jadhav,BA Stokes,4,2
KM Jadhav,DS Kulkarni,0,1
KM Jadhav,DS Kulkarni,1,1
KM Jadhav,HH Pandya,0,3
KM Jadhav,HH Pandya,1,1
KM Jadhav,JC Archer,0,5
KM Jadhav,JJ Bumrah,0,2
KM Jadhav,JJ Bumrah,1,1
KM Jadhav,JP Behrendorff,0,2
KM Jadhav,KH Pandya,1,1
KM Jadhav,SL Malinga,0,5
KM Jadhav,SL Malinga,4,1
KM Jadhav,SL Malinga,6,1
KS Bharat,Simarjeet Singh,0,3
KS Bharat,Simarjeet Singh,4,2
KS Bharat,TA Boult,0,2
KS Sharma,Mohammed Shami,0,1
KS Sharma,Yash Dayal,0,2
KS Sharma,Yash Dayal,4,1
KS Williamson,A Nortje,0,4
KS Williamson,A Nortje,4,1
KS Williamson,AD Russell,0,1
KS Williamson,AD Russell,4,1
KS Williamson,AR Patel,0,4
KS Williamson,AR Patel,1,1
KS Williamson,AR Patel,4,1
KS Williamson,Avesh Khan,0,2
KS Williamson,Avesh Khan,1,1
KS Williamson,Avesh Khan,4,2
KS Williamson,B Laughlin,0,1
KS Williamson,B Laughlin,1,1
KS Williamson,B Laughlin,4,1
KS Williamson,CJ Jordan,0,3
KS Williamson,CJ Jordan,1,1
KS Williamson,DL Chahar,0,7
KS Williamson,DL Chahar,1,4
KS Williamson,DL Chahar,4,1
KS Williamson,DL Chahar,6,2
KS Williamson,HH Pandya,0,5
KS Williamson,HH Pandya,1,3
KS Williamson,HV Patel,0,3
KS Williamson,HV Patel,1,2
KS Williamson,HV Patel,2,1
KS Williamson,JD Unadkat,0,3
KS Williamson,JD Unadkat,2,1
KS Williamson,JD Unadkat,4,1
KS Williamson,JD Unadkat,6,1
KS Williamson,JJ Bumrah,0,4
KS Williamson,JJ Bumrah,2,1
KS Williamson,JO Holder,0,5
KS Williamson,JO Holder,1,3
KS Williamson,JO Holder,6,1
KS Williamson,JR Hazlewood,0,2
KS Williamson,JR Hazlewood,1,2
KS Williamson,JR Hazlewood,4,1
KS Williamson,K Gowtham,0,2
KS Williamson,KH Pandya,0,1
KS Williamson,KH Pandya,1,3
KS Williamson,KK Ahmed,0,3
KS Williamson,L Ngidi,0,6
KS Williamson,L Ngidi,1,1
KS Williamson,LE Plunkett,0,1
KS Williamson,LE Plunkett,1,1
KS Williamson,LE Plunkett,2,1
KS Williamson,LE Plunkett,4,1
KS Williamson,M Theekshana,0,6
KS Williamson,M Theekshana,1,6
KS Williamson,M Theekshana,4,1
KS Williamson,MJ Santner,1,1
KS Williamson,Mohammed Shami,0,7
KS Williamson,Mohammed Shami,1,3
KS Williamson,Mohammed Shami,2,1
KS Williamson,Mohammed Shami,4,2
KS Williamson,Mohammed Shami,6,1
KS Williamson,Mohammed Siraj,0,3
KS Williamson,Mohammed Siraj,1,2
KS Williamson,Mukesh Choudhary,0,6
KS Williamson,Mukesh Choudhary,1,3
KS Williamson,PJ Cummins,0,3
KS Williamson,PJ Cummins,1,2
KS Williamson,PJ Cummins,4,1
KS Williamson,R Ashwin,0,2
KS Williamson,R Ashwin,1,1
KS Williamson,R Ashwin,4,1
KS Williamson,S Nadeem,0,2
KS Williamson,S Nadeem,1,2
KS Williamson,SN Thakur,0,10
KS Williamson,SN Thakur,1,3
KS Williamson,SN Thakur,2,1
KS Williamson,SN Thakur,4,4
KS Williamson,SR Watson,1,1
KS Williamson,Simarjeet Singh,0,1
KS Williamson,Simarjeet Singh,1,3
KS Williamson,Simarjeet Singh,4,1
KS Williamson,Simarjeet Singh,6,1
KS Williamson,TA Boult,0,1
KS Williamson,TA Boult,1,1
KS Williamson,UT Yadav,0,6
KS Williamson,UT Yadav,1,3
KS Williamson,UT Yadav,4,1
KS Williamson,YS Chahal,0,1
KS Williamson,YS Chahal,1,1
KS Williamson,YS Chahal,4,1
KS Williamson,Yash Dayal,0,1
KS Williamson,Yash Dayal,1,1
LS Livingstone,CJ Jordan,0,1
LS Livingstone,CJ Jordan,1,1
LS Livingstone,CJ Jordan,3,1
LS Livingstone,CV Varun,1,1
LS Livingstone,CV Varun,3,1
LS Livingstone,I Sharma,0,4
LS Livingstone,I Sharma,1,1
LS Livingstone,I Sharma,4,1
LS Livingstone,I Sharma,6,1
LS Livingstone,K Khejroliya,0,1
LS Livingstone,KK Ahmed,0,2
LS Livingstone,KK Ahmed,1,1
LS Livingstone,M Jansen,0,2
LS Livingstone,M Jansen,4,2
LS Livingstone,M Jansen,6,1
LS Livingstone,Mukesh Choudhary,0,7
LS Livingstone,Mukesh Choudhary,4,4
LS Livingstone,Mukesh Choudhary,6,3
LS Livingstone,Navdeep Saini,0,2
LS Livingstone,Navdeep Saini,1,1
LS Livingstone,Navdeep Saini,4,1
LS Livingstone,Navdeep Saini,6,1
LS Livingstone,Rashid Khan,0,1
LS Livingstone,Rashid Khan,1,1
LS Livingstone,Rashid Khan,2,1
LS Livingstone,Rashid Khan,6,1
LS Livingstone,S Kaul,0,2
LS Livingstone,S Kaul,4,2
LS Livingstone,S Kaul,6,2
LS Livingstone,SN Thakur,1,1
LS Livingstone,Shakib Al Hasan,0,2
LS Livingstone,Shakib Al Hasan,1,2
LS Livingstone,Shivam Mavi,0,1
LS Livingstone,T Natarajan,0,1
LS Livingstone,TA Boult,0,3
LS Livingstone,TA Boult,1,3
LS Livingstone,TG Southee,0,2
LS Livingstone,TG Southee,6,1
LS Livingstone,YS Chahal,0,1
Lalit Yadav,Arshdeep Singh,0,1
Lalit Yadav,Arshdeep Singh,1,1
Lalit Yadav,K Rabada,0,2
Lalit Yadav,K Rabada,1,1
Lalit Yadav,K Rabada,4,1
Lalit Yadav,M Ashwin,0,2
Lalit Yadav,M Ashwin,1,1
Lalit Yadav,TS Mills,0,1
Lalit Yadav,TS Mills,1,1
M Shahrukh Khan,B Kumar,1,2
M Shahrukh Khan,B Kumar,6,1
M Shahrukh Khan,Fazalhaq Farooqi,1,1
M Shahrukh Khan,Fazalhaq Farooqi,4,1
M Shahrukh Khan,J Suchith,1,2
M Vijay,AJ Tye,0,1
M Vijay,BB Sran,0,4
M Vijay,BB Sran,1,2
M Vijay,BB Sran,2,1
M Vijay,BB Sran,6,1
M Vijay,HH Pandya,0,2
M Vijay,HH Pandya,2,1
M Vijay,HH Pandya,4,1
M Vijay,HH Pandya,6,1
M Vijay,JJ Bumrah,0,2
M Vijay,JJ Bumrah,4,1
M Vijay,KH Pandya,0,6
M Vijay,KH Pandya,1,1
M Vijay,MM Sharma,1,2
M Vijay,SL Malinga,0,1
M Vijay,SL Malinga,1,1
M Vijay,SL Malinga,2,3
M Vijay,SL Malinga,4,1
M Vohra,Arshdeep Singh,0,2
M Vohra,B Kumar,1,1
M Vohra,DL Chahar,0,2
M Vohra,DL Chahar,1,1
M Vohra,DL Chahar,4,1
M Vohra,GJ Maxwell,0,4
M Vohra,GJ Maxwell,2,1
M Vohra,JA Richardson,0,4
M Vohra,JA Richardson,2,1
M Vohra,JA Richardson,4,1
M Vohra,JA Richardson,6,1
M Vohra,JJ Bumrah,0,1
M Vohra,JJ Bumrah,1,2
M Vohra,JP Duminy,0,5
M Vohra,JP Duminy,1,1
M Vohra,JP Duminy,4,2
M Vohra,JP Duminy,6,3
M Vohra,JR Hazlewood,0,2
M Vohra,JR Hazlewood,1,1
M Vohra,JR Hazlewood,4,1
M Vohra,JR Hazlewood,6,1
M Vohra,KH Pandya,0,3
M Vohra,KH Pandya,1,1
M Vohra,KH Pandya,2,2
M Vohra,MJ McClenaghan,0,2
M Vohra,MJ McClenaghan,1,1
M Vohra,Mohammed Siraj,0,3
M Vohra,Mohammed Siraj,1,1
M Vohra,S Kaul,1,2
M Vohra,SM Curran,0,4
M Vohra,SM Curran,1,1
M Vohra,SM Curran,2,1
M Vohra,SM Curran,6,1
M Vohra,Sandeep Sharma,0,3
M Vohra,Sandeep Sharma,1,1
M Vohra,Sandeep Sharma,2,1
M Vohra,Shahbaz Ahmed,0,1
M Vohra,Shahbaz Ahmed,1,1
M Vohra,Shahbaz Ahmed,6,1
M Vohra,TA Boult,0,1
MA Agarwal,AD Russell,1,2
MA Agarwal,Avesh Khan,0,1
MA Agarwal,Avesh Khan,1,4
MA Agarwal,Avesh Khan,2,1
MA Agarwal,Avesh Khan,4,2
MA Agarwal,B Kumar,1,2
MA Agarwal,BA Stokes,0,1
MA Agarwal,BA Stokes,1,1
MA Agarwal,BA Stokes,4,1
MA Agarwal,Basil Thampi,0,1
MA Agarwal,Basil Thampi,1,1
MA Agarwal,Basil Thampi,4,2
MA Agarwal,CH Morris,0,2
MA Agarwal,CH Morris,1,1
MA Agarwal,CH Morris,6,1
MA Agarwal,CR Woakes,0,1
MA Agarwal,CR Woakes,4,2
MA Agarwal,DJ Willey,0,1
MA Agarwal,DJ Willey,1,5
MA Agarwal,DJ Willey,6,1
MA Agarwal,DS Kulkarni,0,1
MA Agarwal,DS Kulkarni,1,2
MA Agarwal,HF Gurney,1,1
MA Agarwal,HF Gurney,2,1
MA Agarwal,Harbhajan Singh,0,2
MA Agarwal,I Sharma,0,1
MA Agarwal,I Sharma,1,2
MA Agarwal,JC Archer,0,8
MA Agarwal,JC Archer,1,2
MA Agarwal,JD Unadkat,0,5
MA Agarwal,JD Unadkat,1,1
MA Agarwal,JD Unadkat,2,1
MA Agarwal,JJ Bumrah,0,3
MA Agarwal,JJ Bumrah,1,1
MA Agarwal,JJ Bumrah,4,2
MA Agarwal,JO Holder,1,2
MA Agarwal,JO Holder,4,1
MA Agarwal,K Gowtham,0,2
MA Agarwal,K Gowtham,1,1
MA Agarwal,K Gowtham,6,1
MA Agarwal,K Khejroliya,0,2
MA Agarwal,K Khejroliya,1,2
MA Agarwal,K Khejroliya,4,1
MA Agarwal,K Rabada,0,6
MA Agarwal,K Rabada,1,2
MA Agarwal,K Rabada,2,2
MA Agarwal,KH Pandya,0,1
MA Agarwal,KH Pandya,6,1
MA Agarwal,KK Ahmed,1,2
MA Agarwal,LE Plunkett,0,2
MA Agarwal,LE Plunkett,1,1
MA Agarwal,LH Ferguson,1,1
MA Agarwal,LI Meriwala,0,3
MA Agarwal,LI Meriwala,1,1
MA Agarwal,LI Meriwala,2,1
MA Agarwal,LI Meriwala,4,3
MA Agarwal,LI Meriwala,6,1
MA Agarwal,M Ashwin,1,2
MA Agarwal,M Ashwin,4,2
MA Agarwal,M Ashwin,6,1
MA Agarwal,M Prasidh Krishna,0,4
MA Agarwal,M Prasidh Krishna,1,1
MA Agarwal,M Prasidh Krishna,4,3
MA Agarwal,M Prasidh Krishna,5,1
MA Agarwal,M Theekshana,0,4
MA Agarwal,M Theekshana,1,3
MA Agarwal,M Theekshana,4,1
MA Agarwal,MJ Santner,0,4
MA Agarwal,MJ Santner,1,2
MA Agarwal,MJ Santner,4,1
MA Agarwal,MP Stoinis,1,3
MA Agarwal,Mohammad Nabi,0,3
MA Agarwal,Mohammad Nabi,1,1
MA Agarwal,Mohammad Nabi,6,1
MA Agarwal,Mohammed Shami,0,2
MA Agarwal,Mohammed Shami,1,1
MA Agarwal,Mohammed Siraj,0,7
MA Agarwal,Mohammed Siraj,1,2
MA Agarwal,Mohammed Siraj,2,1
MA Agarwal,Mohammed Siraj,4,2
MA Agarwal,Mohammed Siraj,6,1
MA Agarwal,Mohsin Khan,0,6
MA Agarwal,Mohsin Khan,1,1
MA Agarwal,Mohsin Khan,2,1
MA Agarwal,Mohsin Khan,4,1
MA Agarwal,Mohsin Khan,6,1
MA Agarwal,Mukesh Choudhary,0,5
MA Agarwal,Mukesh Choudhary,1,3
MA Agarwal,Mukesh Choudhary,2,1
MA Agarwal,Mukesh Choudhary,4,1
MA Agarwal,PJ Cummins,0,4
MA Agarwal,PJ Cummins,1,3
MA Agarwal,PJ Cummins,6,1
MA Agarwal,PVD Chameera,0,3
MA Agarwal,PVD Chameera,6,1
MA Agarwal,R Ashwin,1,1
MA Agarwal,RD Chahar,0,1
MA Agarwal,RD Chahar,1,1
MA Agarwal,Rashid Khan,0,3
MA Agarwal,Rashid Khan,1,3
MA Agarwal,Rashid Khan,4,1
MA Agarwal,S Lamichhane,0,1
MA Agarwal,S Lamichhane,1,2
MA Agarwal,S Sandeep Warrier,1,1
MA Agarwal,S Sandeep Warrier,4,1
MA Agarwal,SP Narine,0,1
MA Agarwal,SP Narine,1,2
MA Agarwal,Sandeep Sharma,1,2
MA Agarwal,Sandeep Sharma,4,1
MA Agarwal,Shahbaz Ahmed,0,2
MA Agarwal,Shahbaz Ahmed,1,1
MA Agarwal,Shivam Mavi,0,5
MA Agarwal,Shivam Mavi,1,2
MA Agarwal,Shivam Mavi,4,1
MA Agarwal,TA Boult,0,6
MA Agarwal,TA Boult,1,2
MA Agarwal,TA Boult,4,4
MA Agarwal,TG Southee,0,4
MA Agarwal,TG Southee,4,2
MA Agarwal,TS Mills,0,2
MA Agarwal,TS Mills,1,1
MA Agarwal,TS Mills,4,1
MA Agarwal,UT Yadav,0,7
MA Agarwal,UT Yadav,1,3
MA Agarwal,UT Yadav,4,2
MA Agarwal,YS Chahal,1,1
MJ Guptill,BB Sran,0,2
MJ Guptill,BB Sran,1,2
MJ Guptill,BB Sran,6,1
MJ Guptill,JJ Bumrah,0,1
MJ Guptill,JJ Bumrah,1,2
MJ Guptill,Navdeep Saini,0,2
MJ Guptill,Navdeep Saini,1,1
MJ Guptill,Navdeep Saini,4,2
MJ Guptill,Navdeep Saini,5,1
MJ Guptill,Navdeep Saini,6,1
MJ Guptill,SL Malinga,0,1
MJ Guptill,SL Malinga,1,2
MJ Guptill,SL Malinga,4,1
MJ Guptill,UT Yadav,0,7
MJ Guptill,UT Yadav,1,2
MJ Guptill,UT Yadav,6,1
MJ Guptill,YS Chahal,0,2
MJ Guptill,YS Chahal,1,1
MJ Santner,DR Sams,0,5
MJ Santner,DR Sams,4,2
MJ Santner,JJ Bumrah,0,2
MJ Santner,JJ Bumrah,1,1
MJ Santner,JJ Bumrah,2,1
MK Lomror,I Sharma,0,1
MK Lomror,I Sharma,4,2
MK Lomror,R Dhawan,0,2
MK Lomror,R Dhawan,6,1
MK Pandey,C Sakariya,1,1
MK Pandey,CH Morris,0,1
MK Pandey,CH Morris,1,2
MK Pandey,CH Morris,4,2
MK Pandey,DL Chahar,0,2
MK Pandey,DL Chahar,3,1
MK Pandey,DL Chahar,4,1
MK Pandey,FA Allen,0,1
MK Pandey,FA Allen,1,1
MK Pandey,FA Allen,4,1
MK Pandey,Harbhajan Singh,0,5
MK Pandey,Harbhajan Singh,2,1
MK Pandey,Harbhajan Singh,4,3
MK Pandey,Harbhajan Singh,6,1
MK Pandey,JD Unadkat,0,3
MK Pandey,JD Unadkat,1,2
MK Pandey,JJ Bumrah,1,1
MK Pandey,JR Hazlewood,0,3
MK Pandey,JR Hazlewood,1,1
MK Pandey,KA Jamieson,0,1
MK Pandey,KA Jamieson,1,1
MK Pandey,KA Jamieson,6,1
MK Pandey,Kartik Tyagi,0,7
MK Pandey,Kartik Tyagi,1,2
MK Pandey,Kartik Tyagi,2,1
MK Pandey,Kartik Tyagi,4,1
MK Pandey,Kartik Tyagi,6,2
MK Pandey,M Prasidh Krishna,0,5
MK Pandey,M Prasidh Krishna,5,1
MK Pandey,Mohammed Siraj,0,5
MK Pandey,Mohammed Siraj,1,2
MK Pandey,Mustafizur Rahman,0,1
MK Pandey,Navdeep Saini,1,1
MK Pandey,PJ Cummins,0,2
MK Pandey,PJ Cummins,1,2
MK Pandey,R Shepherd,0,3
MK Pandey,R Shepherd,4,1
MK Pandey,R Shepherd,6,1
MK Pandey,RP Meredith,0,2
MK Pandey,RP Meredith,1,1
MK Pandey,SL Malinga,0,1
MK Pandey,SL Malinga,2,1
MK Pandey,SL Malinga,4,2
MK Pandey,SL Malinga,6,1
MK Pandey,Shahbaz Ahmed,0,2
MK Pandey,Shahbaz Ahmed,1,1
MK Pandey,Shahbaz Ahmed,4,1
MK Pandey,Shakib Al Hasan,0,1
MK Pandey,Shakib Al Hasan,1,1
MK Pandey,Shakib Al Hasan,4,1
MK Pandey,Washington Sundar,0,8
MK Pandey,Washington Sundar,1,2
MK Pandey,Washington Sundar,4,1
MK Pandey,YS Chahal,0,3
MK Pandey,YS Chahal,1,1
MM Ali,AJ Tye,0,3
MM Ali,AS Joseph,0,3
MM Ali,Akash Deep,1,2
MM Ali,Avesh Khan,0,2
MM Ali,Avesh Khan,6,1
MM Ali,CH Morris,0,3
MM Ali,CH Morris,1,2
MM Ali,DL Chahar,1,3
MM Ali,DS Kulkarni,0,4
MM Ali,DS Kulkarni,1,1
MM Ali,DS Kulkarni,4,1
MM Ali,HH Pandya,0,1
MM Ali,HH Pandya,1,2
MM Ali,Harbhajan Singh,0,4
MM Ali,Harbhajan Singh,6,1
MM Ali,JD Unadkat,1,1
MM Ali,JJ Bumrah,0,2
MM Ali,JJ Bumrah,6,1
MM Ali,JR Hazlewood,0,2
MM Ali,KH Pandya,0,1
MM Ali,KH Pandya,1,1
MM Ali,KH Pandya,4,2
MM Ali,KH Pandya,6,1
MM Ali,M Prasidh Krishna,0,6
MM Ali,M Prasidh Krishna,4,3
MM Ali,M Prasidh Krishna,6,1
MM Ali,MJ McClenaghan,0,1
MM Ali,MJ McClenaghan,1,2
MM Ali,MJ McClenaghan,4,1
MM Ali,MJ McClenaghan,6,1
MM Ali,Mohammad Nabi,0,6
MM Ali,Mohammad Nabi,1,1
MM Ali,Mohammed Shami,0,2
MM Ali,Mohammed Shami,1,3
MM Ali,Mohammed Siraj,0,1
MM Ali,Mohammed Siraj,1,1
MM Ali,R Ashwin,0,1
MM Ali,R Ashwin,1,1
MM Ali,R Ashwin,4,2
MM Ali,R Ashwin,6,1
MM Ali,RP Meredith,0,4
MM Ali,RP Meredith,4,2
MM Ali,Rashid Khan,0,1
MM Ali,Rashid Khan,2,1
MM Ali,Rashid Khan,6,2
MM Ali,S Lamichhane,0,1
MM Ali,S Lamichhane,1,1
MM Ali,SL Malinga,0,1
MM Ali,SL Malinga,1,1
MM Ali,Sandeep Sharma,1,1
MM Ali,TA Boult,0,7
MM Ali,TA Boult,1,1
MM Ali,TA Boult,4,7
MM Ali,TA Boult,6,2
MM Ali,Yash Dayal,0,1
MP Stoinis,S Gopal,0,1
MR Marsh,B Kumar,0,1
MR Marsh,Harpreet Brar,1,1
MR Marsh,JJ Bumrah,0,1
MR Marsh,JO Holder,0,1
MR Marsh,JO Holder,1,1
MR Marsh,JO Holder,6,2
MR Marsh,JR Hazlewood,1,1
MR Marsh,K Rabada,0,2
MR Marsh,K Rabada,1,2
MR Marsh,K Rabada,2,1
MR Marsh,K Rabada,6,2
MR Marsh,KH Pandya,1,1
MR Marsh,LS Livingstone,0,1
MR Marsh,LS Livingstone,1,2
MR Marsh,M Prasidh Krishna,0,9
MR Marsh,M Prasidh Krishna,1,1
MR Marsh,M Prasidh Krishna,6,1
MR Marsh,Mohammed Siraj,0,2
MR Marsh,Mohsin Khan,0,2
MR Marsh,Mohsin Khan,1,1
MR Marsh,Mukesh Choudhary,0,3
MR Marsh,Mukesh Choudhary,1,1
MR Marsh,Mukesh Choudhary,4,1
MR Marsh,PVD Chameera,0,3
MR Marsh,PVD Chameera,1,2
MR Marsh,PVD Chameera,4,2
MR Marsh,PVD Chameera,6,1
MR Marsh,R Ashwin,1,3
MR Marsh,R Ashwin,6,1
MR Marsh,R Dhawan,0,2
MR Marsh,R Dhawan,1,1
MR Marsh,SA Abbott,0,2
MR Marsh,SA Abbott,1,1
MR Marsh,SA Abbott,4,2
MR Marsh,Simarjeet Singh,0,4
MR Marsh,Simarjeet Singh,1,3
MR Marsh,Simarjeet Singh,2,1
MR Marsh,Simarjeet Singh,6,1
MR Marsh,TA Boult,0,3
MR Marsh,TA Boult,1,4
MR Marsh,TA Boult,4,1
MR Marsh,Umran Malik,1,1
MS Dhoni,DS Kulkarni,0,1
MS Dhoni,HH Pandya,0,2
MS Dhoni,JC Archer,0,2
MS Dhoni,JC Archer,1,1
MS Wade,GJ Maxwell,0,3
MS Wade,GJ Maxwell,1,1
MS Wade,JR Hazlewood,0,5
MS Wade,JR Hazlewood,1,1
MS Wade,JR Hazlewood,4,2
MS Wade,JR Hazlewood,6,1
MS Wade,M Prasidh Krishna,0,10
MS Wade,M Prasidh Krishna,1,1
MS Wade,M Prasidh Krishna,2,1
MS Wade,M Prasidh Krishna,4,1
MS Wade,M Prasidh Krishna,6,1
MS Wade,Mustafizur Rahman,0,1
MS Wade,Mustafizur Rahman,1,1
MS Wade,R Ashwin,0,1
MS Wade,R Ashwin,1,1
MS Wade,TA Boult,0,7
MS Wade,TA Boult,1,1
MS Wade,TA Boult,2,2
MS Wade,TA Boult,4,4
Mandeep Singh,B Kumar,0,5
Mandeep Singh,M Ashwin,0,2
Mandeep Singh,MJ McClenaghan,1,1
Mandeep Singh,Mustafizur Rahman,0,1
Mandeep Singh,Mustafizur Rahman,1,1
Mandeep Singh,Mustafizur Rahman,4,1
Mohammad Nabi,JJ Bumrah,0,1
Mohammad Nabi,JJ Bumrah,6,1
N Pooran,HF Gurney,0,1
N Pooran,HF Gurney,2,2
N Pooran,HF Gurney,6,1
N Pooran,S Sandeep Warrier,0,3
N Pooran,S Sandeep Warrier,2,1
N Pooran,S Sandeep Warrier,4,1
N Rana,AJ Tye,0,2
N Rana,AJ Tye,1,1
N Rana,AR Patel,0,1
N Rana,AR Patel,6,1
N Rana,AS Joseph,0,1
N Rana,AS Joseph,1,1
N Rana,Akash Deep,0,3
N Rana,Akash Deep,4,1
N Rana,Akash Deep,6,1
N Rana,Avesh Khan,0,4
N Rana,Avesh Khan,1,1
N Rana,Avesh Khan,4,6
N Rana,B Kumar,0,12
N Rana,B Kumar,1,3
N Rana,B Kumar,4,3
N Rana,B Stanlake,0,4
N Rana,B Stanlake,1,1
N Rana,BA Stokes,0,2
N Rana,BA Stokes,1,2
N Rana,DL Chahar,0,5
N Rana,DL Chahar,1,1
N Rana,HH Pandya,0,7
N Rana,HH Pandya,4,3
N Rana,I Sharma,0,1
N Rana,I Sharma,1,4
N Rana,JC Archer,0,4
N Rana,JC Archer,2,1
N Rana,JC Archer,4,1
N Rana,JJ Bumrah,0,5
N Rana,JJ Bumrah,1,2
N Rana,JJ Bumrah,4,1
N Rana,JO Holder,0,1
N Rana,JO Holder,1,1
N Rana,K Gowtham,0,2
N Rana,K Gowtham,1,1
N Rana,K Gowtham,4,3
N Rana,K Kartikeya,0,1
N Rana,K Kartikeya,4,1
N Rana,K Rabada,0,3
N Rana,K Rabada,1,1
N Rana,K Rabada,4,1
N Rana,KH Pandya,0,1
N Rana,KH Pandya,1,1
N Rana,KK Ahmed,0,6
N Rana,KK Ahmed,1,2
N Rana,KK Ahmed,2,1
N Rana,KK Ahmed,6,2
N Rana,LE Plunkett,1,2
N Rana,LH Ferguson,0,2
N Rana,M Jansen,0,5
N Rana,M Jansen,1,3
N Rana,M Jansen,6,1
N Rana,MC Henriques,0,1
N Rana,MJ McClenaghan,0,1
N Rana,MJ McClenaghan,2,1
N Rana,MJ McClenaghan,6,1
N Rana,MJ Santner,0,1
N Rana,Mohammad Nabi,0,2
N Rana,Mohammad Nabi,1,1
N Rana,Mohammad Nabi,4,1
N Rana,Mohammed Shami,0,2
N Rana,Mohammed Shami,1,1
N Rana,Mohammed Siraj,0,1
N Rana,Mohammed Siraj,1,1
N Rana,Mohsin Khan,0,2
N Rana,Mohsin Khan,1,1
N Rana,Mohsin Khan,4,1
N Rana,Mustafizur Rahman,0,2
N Rana,R Ashwin,0,1
N Rana,R Ashwin,1,1
N Rana,RA Jadeja,0,1
N Rana,RA Jadeja,1,2
N Rana,RA Jadeja,4,1
N Rana,Rashid Khan,0,2
N Rana,Rashid Khan,1,1
N Rana,Rashid Khan,4,1
N Rana,Rashid Khan,6,1
N Rana,S Kaul,0,1
N Rana,S Kaul,1,4
